;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
147;Thumb;astar;int32_t;2.0;253.0;2
148;Thumb;astar;int64_t;2.0;253.0;2
149;Atmega328p;astar;int8_t;-128.0;255.0;2
150;Atmega328p;astar;int16_t;2.0;253.0;2
151;Atmega328p;astar;int32_t;2.0;253.0;2
152;Atmega328p;astar;int64_t;2.0;253.0;2
153;Leon3;astar;int8_t;-128.0;255.0;2
154;Leon3;astar;int16_t;2.0;253.0;2
155;Leon3;astar;int32_t;2.0;253.0;2
156;Leon3;astar;int64_t;2.0;253.0;2
157;RiscV;astar;int8_t;-128.0;255.0;2
158;RiscV;astar;int16_t;2.0;253.0;2
159;RiscV;astar;int32_t;2.0;253.0;2
160;RiscV;astar;int64_t;2.0;253.0;2
161;Arm;astar;int8_t;-128.0;255.0;2
162;Arm;astar;int16_t;2.0;253.0;2
163;Arm;astar;int32_t;2.0;253.0;2
164;Arm;astar;int64_t;2.0;253.0;2
165;Thumb;astar;int8_t;-128.0;255.0;2
166;Thumb;astar;int16_t;2.0;253.0;2
167;Thumb;astar;int32_t;2.0;253.0;2
168;Thumb;astar;int64_t;2.0;253.0;2
169;Atmega328p;astar;int8_t;-128.0;255.0;2
170;Atmega328p;astar;int16_t;2.0;253.0;2
171;Atmega328p;astar;int32_t;2.0;253.0;2
172;Atmega328p;astar;int64_t;2.0;253.0;2
173;Leon3;astar;int8_t;-128.0;255.0;2
174;Leon3;astar;int16_t;2.0;253.0;2
175;Leon3;astar;int32_t;2.0;253.0;2
176;Leon3;astar;int64_t;2.0;253.0;2
177;RiscV;astar;int8_t;-128.0;255.0;2
178;RiscV;astar;int16_t;2.0;253.0;2
179;RiscV;astar;int32_t;2.0;253.0;2
180;RiscV;astar;int64_t;2.0;253.0;2
181;Arm;astar;int8_t;-128.0;255.0;2
182;Arm;astar;int16_t;2.0;253.0;2
183;Arm;astar;int32_t;2.0;253.0;2
184;Arm;astar;int64_t;2.0;253.0;2
185;Thumb;astar;int8_t;-128.0;255.0;2
186;Thumb;astar;int16_t;2.0;253.0;2
187;Thumb;astar;int32_t;2.0;253.0;2
188;Thumb;astar;int64_t;2.0;253.0;2
189;Atmega328p;astar;int8_t;-128.0;255.0;2
190;Atmega328p;astar;int16_t;2.0;253.0;2
191;Atmega328p;astar;int32_t;2.0;253.0;2
192;Atmega328p;astar;int64_t;2.0;253.0;2
193;Leon3;astar;int8_t;-128.0;255.0;2
194;Leon3;astar;int16_t;2.0;253.0;2
195;Leon3;astar;int32_t;2.0;253.0;2
196;Leon3;astar;int64_t;2.0;253.0;2
197;RiscV;astar;int8_t;-128.0;255.0;2
198;RiscV;astar;int16_t;2.0;253.0;2
199;RiscV;astar;int32_t;2.0;253.0;2
200;RiscV;astar;int64_t;2.0;253.0;2
201;Arm;gcd;int8_t;2.0;125.0;2
202;Arm;gcd;int8_t;2.0;125.0;2
203;Arm;gcd;int16_t;2.0;32764.0;2
204;Arm;gcd;int16_t;2.0;32764.0;2
205;Arm;gcd;int32_t;2.0;2147483638.0;2
206;Arm;gcd;int32_t;2.0;2147483638.0;2
207;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
208;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
209;Thumb;gcd;int8_t;2.0;125.0;2
210;Thumb;gcd;int8_t;2.0;125.0;2
211;Thumb;gcd;int16_t;2.0;32764.0;2
212;Thumb;gcd;int16_t;2.0;32764.0;2
213;Thumb;gcd;int32_t;2.0;2147483638.0;2
214;Thumb;gcd;int32_t;2.0;2147483638.0;2
215;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
